,name,accept,level
1167,Running Sum of 1d Array    ,89.8%,Easy
1164,Subrectangle Queries    ,89.2%,Medium
1159,Shuffle the Array    ,88.6%,Easy
1127,Kids With the Greatest Number of Candies    ,88.6%,Easy
1191,Number of Good Pairs    ,88.2%,Easy
905,Defanging an IP Address    ,88.0%,Easy
607,Jewels and Stones    ,86.6%,Easy
1267,Maximum Nesting Depth of the Parentheses    ,86.0%,Easy
1054,Number of Steps to Reduce a Number to Zero    ,86.0%,Easy
1203,Shuffle String    ,85.8%,Easy
1074,How Many Numbers Are Smaller Than the Current Number    ,85.7%,Easy
1002,Subtract the Product and Sum of Digits of an Integer    ,85.4%,Easy
1030,Decompress Run-Length Encoded List    ,85.1%,Easy
1095,Create Target Array in the Given Order    ,84.5%,Easy
1171,XOR Operation in an Array    ,84.2%,Easy
1003,Group the People Given the Group Size They Belong To    ,84.0%,Medium
639,Max Increase to Keep City Skyline    ,83.9%,Medium
1086,Find a Corresponding Node of a Binary Tree in a Clone of That Tree    ,83.8%,Medium
1021,Deepest Leaves Sum    ,83.7%,Medium
968,Split a String in Balanced Strings    ,83.7%,Easy
1032,Sum of Nodes with Even-Valued Grandparent    ,83.6%,Medium
1259,Design Parking System    ,83.6%,Easy
1100,Count Number of Teams    ,82.1%,Medium
770,Range Sum of BST    ,81.9%,Easy
870,Binary Search Tree to Greater Sum Tree    ,81.5%,Medium
945,Reformat Department Table    ,81.4%,Easy
1247,Sum of All Odd Length Subarrays    ,81.4%,Easy
1112,Queries on a Permutation With Key    ,81.3%,Medium
1010,Convert Binary Number in a Linked List to Integer    ,80.8%,Easy
1014,Find Numbers with Even Number of Digits    ,80.4%,Easy
512,Maximum Binary Tree    ,80.4%,Medium
438,Encode and Decode TinyURL    ,80.2%,Medium
1207,Count Good Triplets    ,79.9%,Easy
558,To Lower Case    ,79.7%,Easy
994,Minimum Time Visiting All Points    ,79.4%,Easy
1228,Maximum Number of Coins You Can Get    ,79.4%,Medium
1043,Sort the Matrix Diagonally    ,78.9%,Medium
1235,Matrix Diagonal Sum    ,78.9%,Easy
840,Construct Binary Search Tree from Preorder Traversal    ,78.6%,Medium
853,Remove Outermost Parentheses    ,78.4%,Easy
986,Cells with Odd Values in a Matrix    ,78.3%,Easy
630,All Paths From Source to Target    ,78.1%,Medium
1038,Maximum 69 Number    ,77.9%,Easy
475,Big Countries    ,77.8%,Easy
1023,All Elements in Two Binary Search Trees    ,77.7%,Medium
1220,Minimum Operations to Make Array Equal    ,77.6%,Medium
599,Partition Labels    ,77.5%,Medium
636,Unique Morse Code Words    ,77.4%,Easy
1143,Number of Students Doing Homework at a Given Time    ,77.4%,Easy
1155,Maximum Product of Two Elements in an Array    ,77.4%,Easy
1026,Decrypt String from Alphabet to Integer Mapping    ,77.2%,Easy
1131,Destination City    ,77.2%,Easy
812,Unique Paths III    ,76.9%,Hard
664,Flipping an Image    ,76.6%,Easy
1022,Find N Unique Integers Sum up to Zero    ,76.4%,Easy
1062,Count Negative Numbers in a Sorted Matrix    ,76.3%,Easy
1078,Increasing Decreasing String    ,76.2%,Easy
552,Insert into a Binary Search Tree    ,76.2%,Medium
1088,Design a Stack With Increment Operation    ,76.1%,Medium
491,Swap Salary    ,76.1%,Easy
1082,Generate a String With Characters That Have Odd Counts    ,76.1%,Easy
726,All Possible Full Binary Trees    ,75.8%,Medium
1261,Find Valid Matrix Given Row and Column Sums    ,75.7%,Medium
890,Letter Tile Possibilities    ,75.5%,Medium
1089,Balance a Binary Search Tree    ,75.5%,Medium
1059,Minimum Number of Steps to Make Two Strings Anagram    ,75.3%,Medium
1163,Final Prices With a Special Discount in a Shop    ,75.1%,Easy
737,Sort Array By Parity    ,74.9%,Easy
782,Reveal Cards In Increasing Order    ,74.9%,Medium
1018,Replace Elements with Greatest Element on Right Side    ,74.8%,Easy
573,Self Dividing Numbers    ,74.8%,Easy
485,Merge Two Binary Trees    ,74.6%,Easy
991,Find Elements in a Contaminated Binary Tree    ,74.4%,Medium
753,Minimum Add to Make Parentheses Valid    ,74.3%,Medium
793,N-Repeated Element in Size 2N Array    ,74.0%,Easy
722,Find and Replace Pattern    ,73.9%,Medium
646,Binary Tree Pruning    ,73.7%,Medium
1031,Matrix Block Sum    ,73.7%,Medium
